Company Name,Company Event URL,Location,Company Description,Booth Number,Booth Schedule,Creation,Employees,Industry Type,City,Fundraising Amount,Official Website,Development Level,Looking For,Type of Company(Startup or Not),HashTags,LinkedIN,Instagram
stackease,https://vivatechnology.com/partners/stackease,France,"StackEase: Optimizing Profits for Grid-Connected Battery Systems

StackEase empowers companies to maximize profits from large battery energy storage systems by unlocking the full potential of grid integration. Our innovative algorithms analyze and optimize bids across five distinct energy markets, considering factors like price, delivery time, direction, and volume. This holistic approach transcends the limitations of single-market dependence, ensuring a robust and profitable business model for your batteries.

Benefits:
Maximized Profits: Our software identifies optimal bids across multiple markets, maximizing your return on investment.
Market Flexibility: We empower you to navigate the complexities of the energy landscape, capitalizing on diverse market opportunities.
Enhanced Reliability: By diversifying your participation across multiple markets, StackEase mitigates risk and strengthens your business model.

Let StackEase unlock the true potential of your grid-connected batteries",Booth O06-005,"(Wed, Thu, Fri, Sat)",2023,1-5,Energy,Paris,120000,,Going to market,"['""Funding""']",startup,"DeepTech, Energy, Fintech, Insurance & Legal",https://www.linkedin.com/company/76991549/,
quantihealth,https://vivatechnology.com/partners/quantihealth,France,"QuantiHealth is the digital companion for patients with type 2 diabetes as well as the healthcare professionals who support them. 
By harnessing the power of artificial intelligence, blockchain technology, and gamification, QuantiHealth encourages patients to actively participate in their health while also fostering motivation and commitment. 
It facilitates secure communication, ensuring that patients and caregivers can interact in a safe and confidential manner. 
Additionally, QuantiHealth improves care coordination among various caregivers to organize and optimize the patient's care pathway. 
With QuantiHealth, our goal is to create a virtuous circle that positively impacts the patients' quality of life, their care management, and the patient-caregiver relationship.",Booth G12-035,(Sat),,,Health,Cappelle en Pévèle,,,Going to market,"['""Funding""']",startup,"Artificial Intelligence, Web3, Blockchain, Crypto & NFT, Cybersecurity",,
itinairbis,https://vivatechnology.com/partners/itinairbis,France,"itinair’bis est l’antithèse de Waze : une web app gratuite qui génère des itinéraires touristiques personnalisables en fonction des goûts des voyageurs (patrimoine culturel, artisanat, patrimoine naturel, dégustation, activités, marchés locaux).  

L’objectif : faire découvrir le patrimoine local en prenant son temps sur les petites routes, car, et c’est sa signature : « Nos petites routes valent le détour ».
Elle s’inscrit dans la mouvance du slow tourisme et du « Plan Destination France ».

Grâce à l’expertise en journalisme histoire et patrimoine de la cofondatrice, elle crée également des articles ou podcasts inédits pour valoriser les acteurs du tourisme (transmission des savoir-faire, histoires, anecdotes…) et enrichir, instruire, faire rêver les voyageurs.",Booth H46-030,(Sat),,,Hospitality/Tourism/Travel,Levallois-Perret,,,Going to market,"['""Funding""']",startup,"B2B Services, Education",https://www.linkedin.com/in/itinair-bis/ ,https://www.instagram.com/itinairbis/
ls-group,https://vivatechnology.com/partners/ls-group,France,"LS GROUP supports companies in defining and creating immersive experiences using new technologies - virtual and augmented reality, web, 3D, etc. - and helps them optimise their processes and enhance their brand image, products and services.

LS GROUP's expertise is structured into 4 offers : 
•  LS STUDIO: artistic expertise that makes products sublime by promising visuals and interactive experiences to captivate, inspire and immerse the audience thanks to 3D rendering, 
•  LS SOLUTIONS: customised support via VR/AR training simulators, personalised sales support tools, hardware or objects connected to applications, to transform the concept into virtual or augmented reality, 
•  LS SOFTWARE: plugins and turnkey applications to help companies improve their industrial processes by giving them the possibility of endlessly testing scenarios and simulations in VR.
•  LS ACADEMY: training modules accredited by LS GROUP experts for total autonomy in mastering tomorrow's technologies.",hall1 Booth M43,,,,Software Development/Cloud services,,,,,,partner,"XR & Metaverse, Industry, Logistics & Supply Chain, B2B Services, Luxury, Fashion & Cosmetics",https://www.linkedin.com/company/lsgroup3d?utm_source=salon\u0026utm_medium=website\u0026utm_campaign=vivatech,https://www.instagram.com/lsgroup3d?utm_source=salon\u0026utm_medium=website\u0026utm_campaign=vivatech
conferences,https://vivatechnology.com/partners/conferences,,,,,,,,,,,,,text/javascript,,,
lumissoly-sas,https://vivatechnology.com/partners/lumissoly-sas,France,"In a world where our precious digital memories risk being lost in the maze of cluttered, insecure storage, Lumissoly emerges as a source of trust. Our modern jewellery offers much more than elegant jewellery; it is the bridge between the tangible and the digital, connecting your most cherished memories to a secure and durable storage space. With Lumissoly, you can preserve, narrate and pass on your most precious stories, for today and tomorrow.",Booth D37-005,"(Fri, Sat)",,1-5,Luxury/Fashion/Beauty,Varennes sur Fouzon,,https://www.lumissoly.com,Going to market,"['""Funding""']",startup,"Web3, Blockchain, Crypto & NFT, Luxury, Fashion & Cosmetics, Retail & E-commerce",https://www.linkedin.com/company/lumissoly/,https://www.instagram.com/lumissoly/
dopavision,https://vivatechnology.com/partners/dopavision,Germany,"Dopavision is redefining therapeutic solutions for ophthalmic and neurological conditions using a unique photobiomodulation method targeting the eye’s blind spot. Our first goal is to develop a clinically validated intervention to slow the progression of myopia (nearsightedness) in children, a serious and growing public health challenge projected to affect nearly half of the global population by 2050. Our ground-breaking approach, MyopiaX, is a clinical-stage technology that administers a non-invasive, light-based intervention via a smartphone app using standard consumer electronics. This approach aims to regulate the eye’s innate growth mechanism to control myopia. MyopiaX aims to offer an accessible and user-friendly therapy, and is accompanied by interactive, age-appropriate content. Rooted in a strong scientific rationale, MyopiaX is undergoing a proof-of-concept clinical trial. Founded in 2017, Dopavision is supported by top-tier international investors and the German government.",Booth O10-001,"(Wed, Thu, Fri, Sat)",2017,5-15,Health,Berlin,"16,200,000",,Conception stage,"['""Funding""']",startup,Healthcare & Wellness,https://www.linkedin.com/company/dopavision/,
bodih,https://vivatechnology.com/partners/bodih,France,"At bodih, you are central to our mission : to transform your workplace into a space where well-being and performance merge.

As a Qualiopi-certified training organization, we offer scientifically validated micro-exercises, tailored to current professional challenges: stress reduction, prevention of psychosocial risks, combating sedentariness, prevention of musculoskeletal disorders, and enhancement of concentration.

Our programs, adaptable and flexible, are designed for easy integration into your company, establishing new routines that strengthen the mental and physical health of your teams, while enhancing their daily efficiency. We support you in change management, ensuring these practices are permanently embedded in your company culture.

Thanks to our dedicated app, these practices become a cornerstone of your strategy, placing Human at the core of performance for continuous improvement.  Learn how bodih can lead you to a culture of prevention and sustained performance.",Booth L13-001,"(Wed, Thu, Fri, Sat)",2022,5-15,HR/Training/Education,Vitré,600 000,,Growth \u0026 Scale,"['""None""']",startup,"B2B Services, HR & Future of Work, Healthcare & Wellness",https://www.linkedin.com/company/bodih/,https://www.instagram.com/bodih.fr/
toporder,https://vivatechnology.com/partners/toporder,France,"Toporder, founded in 2019, leads in point-of-sale technology, offering advanced, AI-enhanced systems designed to streamline sales transactions and improve inventory management. Our intuitive POS solutions fit seamlessly into any retail setting, supporting businesses from small shops to large-scale enterprises. With Toporder, retailers can leverage predictive analytics to forecast sales trends and manage stock more effectively, optimizing operational efficiency and reducing waste. Dedicated to innovation and client satisfaction, Toporder equips businesses with smart, user-friendly technology to transform their retail operations and increase profitability. Join the many who trust Toporder’s cutting-edge capabilities.",Booth K24-002,"(Wed, Thu, Fri, Sat)",2019,15-30,Software Development/Cloud services,LYON,2000000,,Growth \u0026 Scale,"['""Funding', 'Talents""']",startup,"Artificial Intelligence, Food & Agriculture, Retail & E-commerce",https://www.linkedin.com/company/toporder/,toporder.fr
yeda,https://vivatechnology.com/partners/yeda,Germany,"Yeda is a Berlin-based soft robotics company developing an individualised device for supporting women’s pelvic floor. This is mostly relevant for those suffering from pelvic floor dysfunctions (PFD) and urinary incontinence, which are 50% of all women globally. The team developed an end-to-end solution that offers immediate support based on a silicone inflatable device and long-term training over an app, which is a differentiator from other partial solutions on the market. By combining sensors with a digital solution, they aim to build the biggest database of pelvic floor health. They have validated the product with, gained pre-sales over a successful crowdfunding campaign and protected the IP with a PCT patent application. Now they are looking for pre-seed investment of €350k to bring the first devices to market by end of this year.",Booth D15-050,"(Fri, Sat)",,1-5,Health,Berlin,200k Grants,,Going to market,"['""Funding""']",startup,"Diversity & Inclusion, Healthcare & Wellness, Growth & Investment",https://www.linkedin.com/company/goyeda,https://www.instagram.com/go.yeda/
marinachain,https://vivatechnology.com/partners/marinachain,South Korea,"MarinaChain AI Solutions for Maritime and Port Logistics

Overview:
MarinaChain leverages AI to enhance efficiency and compliance in maritime operations. Our solutions automate berth management, optimize fleet routes, and ensure regulatory compliance, reducing operational costs and environmental impact.

Key Offerings:
AI Berth Management: Reduces port congestion through automated scheduling.
Carbon Emission Management (MarinaNet): Manages emissions to comply with global standards like EU ETS and IMO DCS.
Fleet AI Optimization: Improves fuel efficiency and predictive maintenance.
EU ETS Regulatory Compliance: Facilitates seamless environmental reporting.

Benefits:
Cost reductions from streamlined operations.
Compliance with maritime regulations.
Enhanced operational and environmental efficiency.

Contact Us:
Learn how Marinachain can transform your operations via Viva Tech application or physical meeting is always welcome",Booth H47-004,"(Wed, Thu, Fri, Sat)",2023,5-15,Industry,Seoul,,,Growth \u0026 Scale,"['""Talents', 'Funding""']",startup,"Artificial Intelligence, Industry, Logistics & Supply Chain, Climate Tech",https://www.linkedin.com/company/77079059/admin/feed/posts/,
zurimed-technologies-ag,https://vivatechnology.com/partners/zurimed-technologies-ag,Switzerland,"ZuriMED Technologies AG is an innovative Swiss-based startup that spun off from the University of Zurich and ETH Zurich and dedicated to pioneering advancements in sports medicine through the development of cutting-edge medical technologies for soft tissue repair. As an innovation engine with a dynamic management team and a Board of Directors of world-leading scientists and clinicians, ZuriMED’s strength is to think outside the box and develop disruptive technologies that address unmet clinical needs. 

Surgical-Fiberlock technology developed by ZuriMED is a breakthrough in the surgical repair of soft tissues. It functions like a surgical “sewing” machine, mechanically “interlocking” the medical patch fibers into soft tissue, allowing the surgeon to attach patches in an easier, faster, and more reliable way for various clinical applications.",Booth B38-001,"(Wed, Thu, Fri, Sat)",2015,15-30,Health,Zürich,20,,Going to market,"['""Funding""']",startup,"Healthcare & Wellness, Sports, Growth & Investment",https://www.linkedin.com/company/zurimed/mycompany/,
nicebuild-llc,https://vivatechnology.com/partners/nicebuild-llc,United States of America,"PLAUD NOTE is the first AI business partner device that removes layers of friction associated with using multiple apps on phones to achieve narrow productivity aims - to seamlessly record, transcribe, summarize, and make meetings, calls, and conversations",hall1 Booth J28-002,"(Wed, Thu, Fri, Sat)",2023,30-50,Consumer goods/Retail/E-commerce,Sheridan,,https://www.plaud.ai/,Growth \u0026 Scale,"['""Talents', 'Funding""']",startup,"Artificial Intelligence, Retail & E-commerce",,
nijta,https://vivatechnology.com/partners/nijta,France,"Nijta protects audio recordings collected at contact centres, media, health organisations and banks from privacy threats, such as re-identification, deepfake creation, and other malicious uses. It does so by anonymising the biometric identity and personally identifiable information present in the recordings.",Booth D11-034,(Sat),2022,5-15,Cybersecurity/Defense,Lille,2M,https://nijta.com,Going to market,"['""Talents""']",startup,"Artificial Intelligence, B2B Services, DeepTech",https://www.linkedin.com/company/nijta,
mycolutions,https://vivatechnology.com/partners/mycolutions,Germany,"MycoLutions develops novel materials for well-harmonised room acoustics and energy-saving thermal insulation by utilising the immense potential of fungal mycelium. Facilitating the transition away from fossil-based materials like polystyrene, we work towards a circular economy. Our pollution-free material serves as the foundation for healthier living and working environments. Leveraging local agricultural and food industry waste streams, we scale up production, transforming waste into valuable products. Committed to high quality and environmental stewardship, we redefine construction materials for a circular and sustainable economy.",Booth D15-016,(Sat),2023,5-15,Smart City/Building,Hamburg,,,Going to market,"['""Funding""']",startup,"Climate Tech, Growth & Investment, Industry, Logistics & Supply Chain",https://www.linkedin.com/company/mycolutions,
clevervalues,https://vivatechnology.com/partners/clevervalues,France,"CleverValues™ is a software provider intended for business managers, allowing them to build and implement their value creation strategy .

Our software is designed as a business platform, and as such makes it possible to manage the process aligning strategic orientation with details of industrial choices and resulting offers. It therefore facilitates the management of one of the last business processes which has not yet benefited from a platform.

Starting from a detailed analysis of what your customers and other stakeholders do not communicate to you spontaneously, you become able, thanks to our proven methodology and our platform augmented by AI , to build a real architecture for creating perceived.and quantified value for all these players.

On these bases, you will be able to implement your value creation strategy by relying on four pillars: clear R&D priorities, highly relevant and effective offer, innovative business model, optilized price level.",Booth L18-026,(Thu),2021,5-15,Software Development/Cloud services,Paris,,,Growth \u0026 Scale,"['""Talents""']",startup,"Artificial Intelligence, Education, Industry, Logistics & Supply Chain",https://www.linkedin.com/company/85432807/admin/feed/posts/,
dextrain,https://vivatechnology.com/partners/dextrain,France,"Dextrain is a research startup that develops and markets rehabilitation solutions for manual dexterity. Its objective is to respond to the lack or absence of solutions specifically dedicated to the hand and fingers in rehabilitation. Dextrain has already begun since 2023 to equip rehabilitation centers with the Manipulandum its first medical rehabilitation device to train the different aspects of motor control of the hand (strength, dissociation, coordination). In 2024, Dextrain will release the HomeRehab, a new, more ergonomic training tool designed to facilitate autonomous rehabilitation of patients and to address liberal practices and eventually patients at home. With this solution, Dextrain will create a continuum of rehabilitation, from the neurology and rehabilitation center to the patient’s home to allow a personalized, specific, intense and regular dexterity rehabilitation, ensuring better recovery and greater autonomy in daily life.",Booth,,2021,1-5,Health,Igny,,,Going to market,"['""Funding""']",startup,"Healthcare & Wellness, Diversity & Inclusion, Gaming & esports",https://www.linkedin.com/company/78022420,
strivee,https://vivatechnology.com/partners/strivee,France,"Strivee is an all-in-one solution for all players in the Fitness industry. We offer an extremely simple and fun user experience. Athletes can follow training programs, track and analyze their progress. As for gyms and coaches, they can unite and engage their community by sharing workouts with their members.

Currently leader in the French market and we are now expanding worldwide. With a community of over 100,000 users worldwide, we are looking for a co-investor to complete our financial round. Come and meet us to find out more about Strivee",Booth B27-001,"(Wed, Thu)",2021,5-15,Software Development/Cloud services,DIJON,,www.strivee.app,Growth \u0026 Scale,"['""Funding""']",startup,"B2B Services, Sports",https://linkedin.com/company/strivee,@strivee.app
